,patch_type,environment,distribution,skewness,skewness_p,n_samples,n_subjects,sample_size_assessment,normality_p,aic,bic,ks_stat,ks_p
0,Patch 1,Env 1,normal,0.2825896490382379,0.09254840561591324,206,39,Sufficient,9.162889308040128e-07,588.6026756803251,595.2584280179043,0.07544288246093506,0.182076004463966
1,Patch 1,Env 1,lognormal,0.2825896490382379,0.09254840561591324,206,39,Sufficient,9.162889308040128e-07,583.6291478212179,593.6127763275866,0.06767155624071675,0.2889202442848602
2,Patch 1,Env 1,gamma,0.2825896490382379,0.09254840561591324,206,39,Sufficient,9.162889308040128e-07,581.0097139741515,590.9933424805203,0.06801586669440529,0.2833901361952742
3,Patch 1,Env 2,normal,0.19930776022133184,0.06798245758233082,498,39,Sufficient,0.17896935186066512,1417.2627790718539,1425.6839792259032,0.0350722008833535,0.5604831773145745
4,Patch 1,Env 2,lognormal,0.19930776022133184,0.06798245758233082,498,39,Sufficient,0.17896935186066512,1415.6880892365164,1428.3198894675904,0.021690323039898374,0.9692729561724955
5,Patch 1,Env 2,gamma,0.19930776022133184,0.06798245758233082,498,39,Sufficient,0.17896935186066512,1415.6425426609744,1428.2743428920485,0.021526077510578445,0.9713418740868172
6,Patch 2,Env 1,normal,0.06414960837993101,0.6502529491680635,286,39,Sufficient,0.023031963740037166,815.6328409930727,822.9448246147124,0.04650627303990934,0.5504565570295135
7,Patch 2,Env 1,lognormal,0.06414960837993101,0.6502529491680635,286,39,Sufficient,0.023031963740037166,817.32926854642,828.2972439788796,0.043171499354429266,0.6445413891626566
8,Patch 2,Env 1,gamma,0.06414960837993101,0.6502529491680635,286,39,Sufficient,0.023031963740037166,817.3283960430847,828.2963714755442,0.04387530937133943,0.6244715241955777
9,Patch 2,Env 2,normal,0.061422185047080594,0.658443503563847,297,39,Sufficient,0.000246072402838619,846.8494887235756,854.2369530011811,0.050807964105558684,0.4135854005559466
10,Patch 2,Env 2,lognormal,0.061422185047080594,0.658443503563847,297,39,Sufficient,0.000246072402838619,848.5073609453708,859.588557361779,0.04976057741586751,0.43976844535987514
11,Patch 2,Env 2,gamma,0.061422185047080594,0.658443503563847,297,39,Sufficient,0.000246072402838619,848.5266388429034,859.6078352593115,0.05015398883953712,0.4298272512827629
12,Patch 3,Env 1,normal,-0.043971027853584366,0.6728949969733362,539,39,Sufficient,0.8794607851130192,1533.6157387946373,1542.1951699364554,0.025912059279327826,0.852732774177596
13,Patch 3,Env 1,lognormal,-0.043971027853584366,0.6728949969733362,539,39,Sufficient,0.8794607851130192,1535.8829027388933,1548.7520494516202,0.028553934972077033,0.7605271662346204
14,Patch 3,Env 1,gamma,-0.043971027853584366,0.6728949969733362,539,39,Sufficient,0.8794607851130192,1536.0492611614268,1548.9184078741537,0.028655028419730055,0.756745428223904
15,Patch 3,Env 2,normal,-0.16155673503833817,0.34192983232719654,196,39,Sufficient,5.598017399091954e-08,560.2239050162318,566.7801343346929,0.08401667789730505,0.11866961694901512
16,Patch 3,Env 2,lognormal,-0.16155673503833817,0.34192983232719654,196,39,Sufficient,5.598017399091954e-08,562.4094886508777,572.2438326285693,0.08370259977576766,0.12117448232370809
17,Patch 3,Env 2,gamma,-0.16155673503833817,0.34192983232719654,196,39,Sufficient,5.598017399091954e-08,563.2982090149231,573.1325529926147,0.08959046861905673,0.08084855643133726
