,patch_type,environment,distribution,skewness,skewness_p,n_samples,n_subjects,sample_size_assessment,normality_p,aic,bic,ks_stat,ks_p
0,Patch 1,Env 1,normal,0.8573844446535085,4.648915530013909e-06,206,39,Sufficient,1.364235812620405e-06,432.7005806109758,439.35633294855495,0.06346423281908892,0.36265821556480715
1,Patch 1,Env 1,lognormal,0.8573844446535085,4.648915530013909e-06,206,39,Sufficient,1.364235812620405e-06,409.38671382892153,419.3703423352903,0.025057766255528913,0.9991585474372565
2,Patch 1,Env 1,gamma,0.8573844446535085,4.648915530013909e-06,206,39,Sufficient,1.364235812620405e-06,409.0554180458147,419.03904655218344,0.028732642675122877,0.9939522749288666
3,Patch 1,Env 2,normal,0.3286665960201934,0.003032853329218834,498,39,Sufficient,0.0010260433322300691,1151.9608005375223,1160.3820006915716,0.056559742409522995,0.07952351484520381
4,Patch 1,Env 2,lognormal,0.3286665960201934,0.003032853329218834,498,39,Sufficient,0.0010260433322300691,1146.9023926682435,1159.5341928993175,0.0399830802628206,0.393221132334189
5,Patch 1,Env 2,gamma,0.3286665960201934,0.003032853329218834,498,39,Sufficient,0.0010260433322300691,1147.2785973038103,1159.9103975348844,0.04118917186580251,0.35710215306735904
6,Patch 2,Env 1,normal,0.2798367286457035,0.051711883225883486,286,39,Sufficient,0.019113411557475486,588.2082931164534,595.5202767380931,0.038758270164968245,0.7684219125778995
7,Patch 2,Env 1,lognormal,0.2798367286457035,0.051711883225883486,286,39,Sufficient,0.019113411557475486,587.3649021548009,598.3328775872604,0.03245627843930077,0.9141966900353573
8,Patch 2,Env 1,gamma,0.2798367286457035,0.051711883225883486,286,39,Sufficient,0.019113411557475486,587.4955992752526,598.4635747077122,0.03275987598173491,0.9086454025732751
9,Patch 2,Env 2,normal,0.176481681710968,0.2068579319127789,297,39,Sufficient,0.019999150912492762,624.9679006915679,632.3553649691734,0.025618709178605537,0.987195174997731
10,Patch 2,Env 2,lognormal,0.176481681710968,0.2068579319127789,297,39,Sufficient,0.019999150912492762,625.9275269730676,637.0087233894758,0.026512825172353427,0.9816146514782252
11,Patch 2,Env 2,gamma,0.176481681710968,0.2068579319127789,297,39,Sufficient,0.019999150912492762,626.0067475432635,637.0879439596716,0.026740254594936674,0.9799629943455783
12,Patch 3,Env 1,normal,0.02517362447940581,0.8089550602272924,539,39,Sufficient,0.2656165459856733,1287.8248294660839,1296.404260607902,0.033068762404804164,0.5856478746749382
13,Patch 3,Env 1,lognormal,0.02517362447940581,0.8089550602272924,539,39,Sufficient,0.2656165459856733,1289.8030350808804,1302.6721817936073,0.036052341699913004,0.47434938078251276
14,Patch 3,Env 1,gamma,0.02517362447940581,0.8089550602272924,539,39,Sufficient,0.2656165459856733,1289.781778319093,1302.65092503182,0.034721525550144294,0.5228614852021034
15,Patch 3,Env 2,normal,-0.13684290410748995,0.42008082427211846,196,39,Sufficient,0.711733575977948,488.13182265789715,494.68805197635817,0.0424608797334462,0.8564683055595601
16,Patch 3,Env 2,lognormal,-0.13684290410748995,0.42008082427211846,196,39,Sufficient,0.711733575977948,490.2727973303153,500.1071413080069,0.042910115885251454,0.8478278824096732
17,Patch 3,Env 2,gamma,-0.13684290410748995,0.42008082427211846,196,39,Sufficient,0.711733575977948,491.1009526451892,500.93529662288074,0.048977378704346486,0.7159521686891259
